date,open,high,low,close,Volume
2021-08-10,4435.1,4445.8,4424.17,4437.1,0.0
2021-08-11,4436.9,4450.6,4428.1,4448.4,0.0
2021-08-12,4446.2,4462.35,4436.65,4461.7,0.0
2021-08-13,4461.6,4469.3,4457.17,4466.05,0.0
2021-08-14,4466.05,4466.05,4466.05,4466.05,0.0
2021-08-15,4466.05,4466.05,4466.05,4466.05,0.0
2021-08-16,4462.57,4482.45,4438.45,4477.75,0.0
2021-08-17,4477.8,4477.87,4417.75,4442.8,0.0
2021-08-18,4441.5,4453.82,4386.57,4392.75,0.0
2021-08-19,4394.45,4418.37,4352.52,4407.15,0.0
2021-08-20,4406.7,4445.22,4376.32,4442.47,0.0
2021-08-21,4442.47,4442.47,4442.47,4442.47,0.0
2021-08-22,4442.47,4442.47,4442.47,4442.47,0.0
2021-08-23,4438.57,4489.77,4438.45,4485.75,0.0
2021-08-24,4485.5,4496.02,4481.02,4487.95,0.0
2021-08-25,4487.85,4502.22,4480.42,4497.9,0.0
2021-08-26,4498.2,4498.45,4469.27,4474.2,0.0
2021-08-27,4473.85,4514.22,4466.17,4512.12,0.0
2021-08-28,4512.12,4512.12,4512.12,4512.12,0.0
2021-08-29,4512.12,4512.12,4512.12,4512.12,0.0
2021-08-30,4510.67,4538.42,4504.92,4534.1,0.0
2021-08-31,4533.1,4545.67,4516.17,4531.6,0.0
2021-09-01,4531.3,4543.12,4522.62,4525.8,0.0
2021-09-02,4524.85,4546.42,4518.42,4539.1,0.0
2021-09-03,4539.0,4551.6,4521.82,4536.07,0.0
2021-09-04,4536.07,4536.07,4536.07,4536.07,0.0
2021-09-05,4536.07,4536.07,4536.07,4536.07,0.0
2021-09-06,4536.82,4550.57,4526.32,4547.0,0.0
2021-09-07,4546.65,4546.65,4513.35,4520.65,0.0
2021-09-08,4520.55,4527.37,4494.87,4514.05,0.0
2021-09-09,4513.5,4531.32,4488.07,4493.25,0.0
2021-09-10,4493.55,4520.47,4459.62,4464.72,0.0
2021-09-11,4464.72,4464.72,4464.72,4464.72,0.0
2021-09-12,4464.72,4464.72,4464.72,4464.72,0.0
2021-09-13,4468.4,4496.02,4447.47,4479.2,0.0
2021-09-14,4477.55,4491.12,4437.62,4449.3,0.0
2021-09-15,4449.35,4489.87,4439.67,4488.15,0.0
2021-09-16,4487.4,4489.72,4445.47,4472.4,0.0
2021-09-17,4471.9,4484.72,4418.82,4419.32,0.0
2021-09-18,4419.32,4419.32,4419.32,4419.32,0.0
2021-09-19,4419.32,4419.32,4419.32,4419.32,0.0
2021-09-20,4426.57,4430.32,4306.32,4355.5,0.0
2021-09-21,4354.8,4408.52,4344.12,4348.55,0.0
2021-09-22,4348.8,4419.17,4333.37,4399.45,0.0
2021-09-23,4399.35,4467.92,4399.1,4451.85,0.0
2021-09-24,4451.5,4465.32,4423.92,4458.67,0.0
2021-09-25,4458.67,4458.67,4458.67,4458.67,0.0
2021-09-26,4458.67,4458.67,4458.67,4458.67,0.0
2021-09-27,4460.02,4484.52,4438.12,4441.9,0.0
2021-09-28,4442.7,4454.32,4346.32,4358.8,0.0
2021-09-29,4360.0,4390.57,4356.32,4368.0,0.0
2021-09-30,4370.7,4399.77,4306.22,4310.15,0.0
2021-10-01,4313.15,4377.27,4271.62,4362.52,0.0
2021-10-02,4362.52,4362.52,4362.52,4362.52,0.0
2021-10-03,4362.52,4362.52,4362.52,4362.52,0.0
2021-10-04,4364.32,4373.32,4279.07,4305.5,0.0
2021-10-05,4306.6,4371.07,4280.67,4347.5,0.0
2021-10-06,4339.57,4369.07,4285.32,4366.75,0.0
2021-10-07,4366.0,4431.82,4365.5,4400.75,0.0
